variable,universe,usProp,ALProp,AKProp,AZProp,ARProp,CAProp,COProp,CTProp,DEProp,DCProp,FLProp,GAProp,HIProp,IDProp,ILProp,INProp,IAProp,KSProp,KYProp,LAProp,MEProp,MDProp,MAProp,MIProp,MNProp,MSProp,MOProp,MTProp,NEProp,NVProp,NHProp,NJProp,NMProp,NYProp,NCProp,NDProp,OHProp,OKProp,ORProp,PAProp,RIProp,SCProp,SDProp,TNProp,TXProp,UTProp,VTProp,VAProp,WAProp,WVProp,WIProp,WYProp,date
noComputerMainReason,noInternetAtHome,0.110427,0.081711,0.113117,0.063118,0.117425,0.112243,0.075696,0.097938,0.115773,0.101611,0.146432,0.121208,0.211916,0.192785,0.155504,0.068052,0.09639,0.07054,0.085152,0.114535,0.123291,0.076081,0.110556,0.095192,0.083491,0.165832,0.169006,0.159552,0.134313,0.140236,0.097032,0.102826,0.067452,0.071007,0.176619,0.127391,0.170927,0.038303,0.072853,0.100049,0.160695,0.07735,0.109943,0.136206,0.116552,0.079763,0.098759,0.058945,0.104176,0.097563,0.042287,0.105546,2012-10-01
unavailableMainReason,noInternetAtHome,0.009382,0.024464,0.036429,0.010069,0.011787,0.006382,0.013891,0.0,0.0,0.005471,0.0,0.019926,0.0,0.0,0.005039,0.003621,0.003979,0.0,0.019318,0.009884,0.0,0.0,0.0,0.006892,0.0,0.012775,0.014277,0.017125,0.01252,0.0,0.028953,0.0,0.009823,0.005016,0.009409,0.016103,0.026991,0.023911,0.007953,0.0,0.004316,0.03484,0.003696,0.022212,0.009809,0.0,0.058387,0.004177,0.0,0.011084,0.012176,0.016396,2012-10-01
privSecMainReason,noInternetAtHome,0.00789,0.003808,0.0,0.009074,0.0,0.009895,0.00917,0.0,0.003723,0.004136,0.003863,0.008319,0.0,0.0,0.004851,0.007298,0.00447,0.018808,0.010591,0.014944,0.010017,0.0,0.0,0.008191,0.004291,0.006971,0.00723,0.006845,0.013973,0.010834,0.009554,0.004231,0.0,0.007072,0.006575,0.012666,0.020136,0.010021,0.027583,0.009388,0.009577,0.003261,0.0,0.003604,0.010721,0.0,0.00625,0.002854,0.010607,0.008093,0.006951,0.005577,2012-10-01
tooExpensiveMainReason,noInternetAtHome,0.288519,0.197714,0.287784,0.372849,0.311552,0.338733,0.335647,0.228527,0.271698,0.409434,0.306002,0.303274,0.193836,0.26062,0.247758,0.379781,0.304022,0.273072,0.310121,0.188964,0.273993,0.264283,0.226274,0.320349,0.257336,0.286307,0.296538,0.217363,0.240451,0.310405,0.256162,0.250703,0.252116,0.256623,0.299856,0.217934,0.246509,0.218257,0.312899,0.264568,0.232595,0.253681,0.212886,0.322165,0.327251,0.382156,0.205259,0.234932,0.353432,0.213021,0.285464,0.237625,2012-10-01
homeEverOnline,noInternetAtHome,0.125923,0.140335,0.069414,0.086161,0.090314,0.118095,0.205062,0.113866,0.089575,0.068292,0.103729,0.127186,0.113479,0.156534,0.128906,0.114753,0.145629,0.202896,0.169412,0.112139,0.111888,0.149576,0.129589,0.116864,0.201319,0.090098,0.133157,0.235737,0.144545,0.070904,0.128904,0.150638,0.103782,0.107795,0.11337,0.152625,0.122873,0.13557,0.157035,0.154653,0.128276,0.090837,0.134424,0.168104,0.115089,0.072444,0.174606,0.121521,0.212346,0.083689,0.137166,0.200779,2013-07-01
canUseElsewhereMainReason,noInternetAtHome,0.029503,0.018087,0.030769,0.052967,0.010042,0.049387,0.0387,0.023143,0.037508,0.057055,0.018763,0.044153,0.007275,0.01132,0.034811,0.01523,0.037774,0.057365,0.005184,0.038769,0.026946,0.025405,0.020153,0.030633,0.045348,0.007269,0.027692,0.07482,0.041375,0.017516,0.033588,0.029351,0.022287,0.026613,0.028304,0.043895,0.027117,0.058917,0.018053,0.012595,0.016788,0.021221,0.037058,0.029,0.019233,0.068882,0.044176,0.040089,0.04381,0.017979,0.014912,0.041463,2013-07-01
noNeedInterestMainReason,noInternetAtHome,0.47219,0.55263,0.311503,0.41291,0.509791,0.455399,0.395875,0.544322,0.59437,0.449454,0.458069,0.476231,0.481536,0.376424,0.402841,0.532529,0.503683,0.449524,0.584338,0.51985,0.524761,0.465061,0.356284,0.47595,0.490489,0.50296,0.43853,0.441228,0.483536,0.400334,0.481318,0.441408,0.473982,0.476085,0.490028,0.457447,0.56439,0.454059,0.447985,0.54337,0.414895,0.465056,0.523579,0.452314,0.436297,0.487259,0.519513,0.439947,0.408006,0.58224,0.502513,0.431643,2013-07-01
noComputerMainReason,noInternetAtHome,0.125833,0.100898,0.172169,0.142736,0.149594,0.126328,0.077072,0.16053,0.086724,0.095073,0.113684,0.140889,0.106076,0.135406,0.179745,0.067114,0.160923,0.113017,0.110069,0.078575,0.111539,0.053783,0.193231,0.128911,0.092505,0.170791,0.12301,0.080281,0.143289,0.157633,0.085176,0.167744,0.113066,0.155701,0.131136,0.186008,0.104089,0.104436,0.122094,0.126679,0.243653,0.097559,0.090639,0.131206,0.13496,0.131995,0.069889,0.120606,0.072837,0.125149,0.081796,0.162841,2013-07-01
unavailableMainReason,noInternetAtHome,0.010392,0.0,0.025363,0.0,0.005052,0.005451,0.0,0.012338,0.0,0.0,0.004546,0.010847,0.018244,0.008998,0.009751,0.004178,0.010332,0.0,0.009493,0.0,0.017403,0.009248,0.0,0.02726,0.005769,0.010407,0.032782,0.040423,0.005892,0.009635,0.025693,0.005633,0.04395,0.001977,0.011167,0.030424,0.005764,0.005908,0.029268,0.003654,0.0,0.029685,0.015038,0.009327,0.026314,0.027,0.015393,0.0,0.00718,0.024412,0.009044,0.01435,2013-07-01
privSecMainReason,noInternetAtHome,0.009662,0.005304,0.010571,0.0,0.0,0.008561,0.012221,0.0,0.0,0.006955,0.014517,0.018617,0.020593,0.009348,0.008222,0.011941,0.010907,0.006031,0.020224,0.007664,0.0,0.013768,0.0,0.011448,0.011998,0.0,0.0,0.01518,0.011552,0.010319,0.0,0.0,0.0,0.020501,0.013512,0.0,0.0,0.011607,0.017667,0.002783,0.0,0.004644,0.0,0.008235,0.017467,0.0,0.006388,0.005869,0.0,0.030983,0.007949,0.016695,2013-07-01
